"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","MEDICALDOC","TOT","1000HAB","A","2010",1.98,
"KOR","MEDICALDOC","TOT","1000HAB","A","2011",2.03,
"KOR","MEDICALDOC","TOT","1000HAB","A","2012",2.07,
"KOR","MEDICALDOC","TOT","1000HAB","A","2013",2.16,
"KOR","MEDICALDOC","TOT","1000HAB","A","2014",2.2,
"KOR","MEDICALDOC","TOT","1000HAB","A","2015",2.24,
"KOR","MEDICALDOC","TOT","1000HAB","A","2016",2.29,
"KOR","MEDICALDOC","TOT","1000HAB","A","2017",2.34,
"LUX","MEDICALDOC","TOT","1000HAB","A","2008",2.72,
"LUX","MEDICALDOC","TOT","1000HAB","A","2009",2.7,
"LUX","MEDICALDOC","TOT","1000HAB","A","2010",2.77,
"LUX","MEDICALDOC","TOT","1000HAB","A","2011",2.78,
"LUX","MEDICALDOC","TOT","1000HAB","A","2012",2.81,
"LUX","MEDICALDOC","TOT","1000HAB","A","2013",2.83,
"LUX","MEDICALDOC","TOT","1000HAB","A","2014",2.88,
"LUX","MEDICALDOC","TOT","1000HAB","A","2015",2.91,"B"
"LUX","MEDICALDOC","TOT","1000HAB","A","2016",2.88,
"LUX","MEDICALDOC","TOT","1000HAB","A","2017",2.98,
"MEX","MEDICALDOC","TOT","1000HAB","A","2008",1.96,
"MEX","MEDICALDOC","TOT","1000HAB","A","2009",1.99,
"MEX","MEDICALDOC","TOT","1000HAB","A","2010",2,
"MEX","MEDICALDOC","TOT","1000HAB","A","2011",2.11,
"MEX","MEDICALDOC","TOT","1000HAB","A","2012",2.12,
"MEX","MEDICALDOC","TOT","1000HAB","A","2013",2.16,
"MEX","MEDICALDOC","TOT","1000HAB","A","2014",2.23,
"MEX","MEDICALDOC","TOT","1000HAB","A","2015",2.33,
"MEX","MEDICALDOC","TOT","1000HAB","A","2016",2.34,
"MEX","MEDICALDOC","TOT","1000HAB","A","2017",2.4,
"NLD","MEDICALDOC","TOT","1000HAB","A","2008",2.87,
"NLD","MEDICALDOC","TOT","1000HAB","A","2009",2.92,
"NLD","MEDICALDOC","TOT","1000HAB","A","2010",2.96,
"NLD","MEDICALDOC","TOT","1000HAB","A","2011",3.13,
"NLD","MEDICALDOC","TOT","1000HAB","A","2012",3.25,
"NLD","MEDICALDOC","TOT","1000HAB","A","2013",3.31,
"NZL","MEDICALDOC","TOT","1000HAB","A","2008",2.46,
"NZL","MEDICALDOC","TOT","1000HAB","A","2009",2.58,
"NZL","MEDICALDOC","TOT","1000HAB","A","2010",2.62,
"NZL","MEDICALDOC","TOT","1000HAB","A","2011",2.65,
"NZL","MEDICALDOC","TOT","1000HAB","A","2012",2.72,
"NZL","MEDICALDOC","TOT","1000HAB","A","2013",2.83,
"NZL","MEDICALDOC","TOT","1000HAB","A","2014",2.9,
"NZL","MEDICALDOC","TOT","1000HAB","A","2015",3.05,"E"
"NZL","MEDICALDOC","TOT","1000HAB","A","2016",3.14,"E"
"NZL","MEDICALDOC","TOT","1000HAB","A","2017",3.29,"E"
"NOR","MEDICALDOC","TOT","1000HAB","A","2008",4,
"NOR","MEDICALDOC","TOT","1000HAB","A","2009",4.05,"B"
"NOR","MEDICALDOC","TOT","1000HAB","A","2010",4.11,
"NOR","MEDICALDOC","TOT","1000HAB","A","2011",4.19,
"NOR","MEDICALDOC","TOT","1000HAB","A","2012",4.23,
"NOR","MEDICALDOC","TOT","1000HAB","A","2013",4.31,
"NOR","MEDICALDOC","TOT","1000HAB","A","2014",4.43,
"NOR","MEDICALDOC","TOT","1000HAB","A","2015",4.4,"B"
"NOR","MEDICALDOC","TOT","1000HAB","A","2016",4.51,
"NOR","MEDICALDOC","TOT","1000HAB","A","2017",4.66,
"POL","MEDICALDOC","TOT","1000HAB","A","2008",2.16,
"POL","MEDICALDOC","TOT","1000HAB","A","2009",2.17,
"POL","MEDICALDOC","TOT","1000HAB","A","2010",2.19,
"POL","MEDICALDOC","TOT","1000HAB","A","2011",2.21,
"POL","MEDICALDOC","TOT","1000HAB","A","2012",2.23,
"POL","MEDICALDOC","TOT","1000HAB","A","2013",2.24,
"POL","MEDICALDOC","TOT","1000HAB","A","2014",2.31,
"POL","MEDICALDOC","TOT","1000HAB","A","2015",2.33,
"POL","MEDICALDOC","TOT","1000HAB","A","2016",2.42,
"POL","MEDICALDOC","TOT","1000HAB","A","2017",2.38,
"SVK","MEDICALDOC","TOT","1000HAB","A","2008",3.37,
"SVK","MEDICALDOC","TOT","1000HAB","A","2009",3.3,
"SVK","MEDICALDOC","TOT","1000HAB","A","2010",3.36,
"SVK","MEDICALDOC","TOT","1000HAB","A","2011",3.31,
"SVK","MEDICALDOC","TOT","1000HAB","A","2012",3.36,
"SVK","MEDICALDOC","TOT","1000HAB","A","2013",3.39,
"SVK","MEDICALDOC","TOT","1000HAB","A","2014",3.43,
"SVK","MEDICALDOC","TOT","1000HAB","A","2015",3.45,
"SVK","MEDICALDOC","TOT","1000HAB","A","2016",3.47,
"SVK","MEDICALDOC","TOT","1000HAB","A","2017",3.42,
"ESP","MEDICALDOC","TOT","1000HAB","A","2008",3.54,
"ESP","MEDICALDOC","TOT","1000HAB","A","2009",3.6,
"ESP","MEDICALDOC","TOT","1000HAB","A","2010",3.76,
"ESP","MEDICALDOC","TOT","1000HAB","A","2011",3.84,
"ESP","MEDICALDOC","TOT","1000HAB","A","2012",3.82,
"ESP","MEDICALDOC","TOT","1000HAB","A","2013",3.81,
"ESP","MEDICALDOC","TOT","1000HAB","A","2014",3.8,
"ESP","MEDICALDOC","TOT","1000HAB","A","2015",3.85,
"ESP","MEDICALDOC","TOT","1000HAB","A","2016",3.82,
"ESP","MEDICALDOC","TOT","1000HAB","A","2017",3.88,
"SWE","MEDICALDOC","TOT","1000HAB","A","2008",3.68,
"SWE","MEDICALDOC","TOT","1000HAB","A","2009",3.75,
"SWE","MEDICALDOC","TOT","1000HAB","A","2010",3.81,
"SWE","MEDICALDOC","TOT","1000HAB","A","2011",3.89,
"SWE","MEDICALDOC","TOT","1000HAB","A","2012",3.97,
"SWE","MEDICALDOC","TOT","1000HAB","A","2013",4.04,
"SWE","MEDICALDOC","TOT","1000HAB","A","2014",4.11,
"SWE","MEDICALDOC","TOT","1000HAB","A","2015",4.17,
"SWE","MEDICALDOC","TOT","1000HAB","A","2016",4.23,
"SWE","MEDICALDOC","TOT","1000HAB","A","2017",4.27,
"CHE","MEDICALDOC","TOT","1000HAB","A","2008",3.82,
"CHE","MEDICALDOC","TOT","1000HAB","A","2009",3.83,
"CHE","MEDICALDOC","TOT","1000HAB","A","2010",3.81,
"CHE","MEDICALDOC","TOT","1000HAB","A","2011",3.83,
"CHE","MEDICALDOC","TOT","1000HAB","A","2012",3.92,
"CHE","MEDICALDOC","TOT","1000HAB","A","2013",4.04,
"CHE","MEDICALDOC","TOT","1000HAB","A","2014",4.13,
"CHE","MEDICALDOC","TOT","1000HAB","A","2015",4.2,
"CHE","MEDICALDOC","TOT","1000HAB","A","2016",4.25,
"CHE","MEDICALDOC","TOT","1000HAB","A","2017",4.3,
"TUR","MEDICALDOC","TOT","1000HAB","A","2008",1.59,
"TUR","MEDICALDOC","TOT","1000HAB","A","2009",1.65,
"TUR","MEDICALDOC","TOT","1000HAB","A","2010",1.69,
"TUR","MEDICALDOC","TOT","1000HAB","A","2011",1.7,
"TUR","MEDICALDOC","TOT","1000HAB","A","2012",1.73,
"TUR","MEDICALDOC","TOT","1000HAB","A","2013",1.76,
"TUR","MEDICALDOC","TOT","1000HAB","A","2014",1.76,
"TUR","MEDICALDOC","TOT","1000HAB","A","2015",1.81,
"TUR","MEDICALDOC","TOT","1000HAB","A","2016",1.83,
"TUR","MEDICALDOC","TOT","1000HAB","A","2017",1.87,
"GBR","MEDICALDOC","TOT","1000HAB","A","2008",2.57,
"GBR","MEDICALDOC","TOT","1000HAB","A","2009",2.64,"B"
"GBR","MEDICALDOC","TOT","1000HAB","A","2010",2.65,
"GBR","MEDICALDOC","TOT","1000HAB","A","2011",2.69,
"GBR","MEDICALDOC","TOT","1000HAB","A","2012",2.7,
"GBR","MEDICALDOC","TOT","1000HAB","A","2013",2.71,
"GBR","MEDICALDOC","TOT","1000HAB","A","2014",2.75,
"GBR","MEDICALDOC","TOT","1000HAB","A","2015",2.77,"B"
"GBR","MEDICALDOC","TOT","1000HAB","A","2016",2.78,
"GBR","MEDICALDOC","TOT","1000HAB","A","2017",2.81,
"USA","MEDICALDOC","TOT","1000HAB","A","2008",2.44,
"USA","MEDICALDOC","TOT","1000HAB","A","2009",2.44,
"USA","MEDICALDOC","TOT","1000HAB","A","2010",2.43,
"USA","MEDICALDOC","TOT","1000HAB","A","2011",2.46,
"USA","MEDICALDOC","TOT","1000HAB","A","2012",2.5,
"USA","MEDICALDOC","TOT","1000HAB","A","2013",2.56,
"USA","MEDICALDOC","TOT","1000HAB","A","2014",2.58,
"USA","MEDICALDOC","TOT","1000HAB","A","2015",2.58,
"USA","MEDICALDOC","TOT","1000HAB","A","2016",2.59,
"USA","MEDICALDOC","TOT","1000HAB","A","2017",2.61,
"BRA","MEDICALDOC","TOT","1000HAB","A","2008",1.79,
"BRA","MEDICALDOC","TOT","1000HAB","A","2009",1.83,
"BRA","MEDICALDOC","TOT","1000HAB","A","2010",1.82,
"CHN","MEDICALDOC","TOT","1000HAB","A","2008",1.32,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2009",1.4,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2010",1.44,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2011",1.47,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2012",1.55,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2013",1.64,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2014",1.7,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2015",1.78,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2016",1.88,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2017",1.99,"D"
"EST","MEDICALDOC","TOT","1000HAB","A","2008",3.34,
"EST","MEDICALDOC","TOT","1000HAB","A","2009",3.28,
"EST","MEDICALDOC","TOT","1000HAB","A","2010",3.24,
"EST","MEDICALDOC","TOT","1000HAB","A","2011",3.29,
"EST","MEDICALDOC","TOT","1000HAB","A","2012",3.28,
"EST","MEDICALDOC","TOT","1000HAB","A","2013",3.33,"B"
"EST","MEDICALDOC","TOT","1000HAB","A","2014",3.36,
"EST","MEDICALDOC","TOT","1000HAB","A","2015",3.41,
"EST","MEDICALDOC","TOT","1000HAB","A","2016",3.46,
"EST","MEDICALDOC","TOT","1000HAB","A","2017",3.47,
"IND","MEDICALDOC","TOT","1000HAB","A","2008",0.63,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2009",0.65,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2010",0.69,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2011",0.74,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2012",0.7,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2013",0.72,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2014",0.72,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2015",0.73,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2016",0.76,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2017",0.78,"D"
"IDN","MEDICALDOC","TOT","1000HAB","A","2012",0.31,
"IDN","MEDICALDOC","TOT","1000HAB","A","2013",0.32,
"ISR","MEDICALDOC","TOT","1000HAB","A","2008",3.42,
"ISR","MEDICALDOC","TOT","1000HAB","A","2009",3.46,
"ISR","MEDICALDOC","TOT","1000HAB","A","2010",3.32,
"ISR","MEDICALDOC","TOT","1000HAB","A","2011",3.26,
"ISR","MEDICALDOC","TOT","1000HAB","A","2012",2.97,"B"
"ISR","MEDICALDOC","TOT","1000HAB","A","2013",2.94,
"ISR","MEDICALDOC","TOT","1000HAB","A","2014",2.98,
"ISR","MEDICALDOC","TOT","1000HAB","A","2015",3.07,
"ISR","MEDICALDOC","TOT","1000HAB","A","2016",3.08,
"ISR","MEDICALDOC","TOT","1000HAB","A","2017",3.14,
"RUS","MEDICALDOC","TOT","1000HAB","A","2008",4.96,
"RUS","MEDICALDOC","TOT","1000HAB","A","2009",5.01,
"RUS","MEDICALDOC","TOT","1000HAB","A","2010",5.03,
"RUS","MEDICALDOC","TOT","1000HAB","A","2011",4.25,"B"
"RUS","MEDICALDOC","TOT","1000HAB","A","2012",4.03,
"RUS","MEDICALDOC","TOT","1000HAB","A","2013",4.02,
"RUS","MEDICALDOC","TOT","1000HAB","A","2014",4.15,"B"
"RUS","MEDICALDOC","TOT","1000HAB","A","2015",3.9,
"RUS","MEDICALDOC","TOT","1000HAB","A","2016",3.94,
"RUS","MEDICALDOC","TOT","1000HAB","A","2017",4.04,
"SVN","MEDICALDOC","TOT","1000HAB","A","2008",2.4,
"SVN","MEDICALDOC","TOT","1000HAB","A","2009",2.41,
"SVN","MEDICALDOC","TOT","1000HAB","A","2010",2.43,
"SVN","MEDICALDOC","TOT","1000HAB","A","2011",2.49,
"SVN","MEDICALDOC","TOT","1000HAB","A","2012",2.54,
"SVN","MEDICALDOC","TOT","1000HAB","A","2013",2.63,
"SVN","MEDICALDOC","TOT","1000HAB","A","2014",2.77,
"SVN","MEDICALDOC","TOT","1000HAB","A","2015",2.83,
"SVN","MEDICALDOC","TOT","1000HAB","A","2016",3.01,
"SVN","MEDICALDOC","TOT","1000HAB","A","2017",3.1,
"ZAF","MEDICALDOC","TOT","1000HAB","A","2008",0.7,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2009",0.71,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2010",0.72,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2011",0.72,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2012",0.73,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2013",0.74,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2014",0.75,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2015",0.78,"D"
"COL","MEDICALDOC","TOT","1000HAB","A","2008",1.54,
"COL","MEDICALDOC","TOT","1000HAB","A","2009",1.59,
"COL","MEDICALDOC","TOT","1000HAB","A","2010",1.64,
"COL","MEDICALDOC","TOT","1000HAB","A","2011",1.7,
"COL","MEDICALDOC","TOT","1000HAB","A","2012",1.75,
"COL","MEDICALDOC","TOT","1000HAB","A","2013",1.82,
"COL","MEDICALDOC","TOT","1000HAB","A","2014",1.89,
"COL","MEDICALDOC","TOT","1000HAB","A","2015",1.95,
"COL","MEDICALDOC","TOT","1000HAB","A","2016",2.01,
"COL","MEDICALDOC","TOT","1000HAB","A","2017",2.09,
"LVA","MEDICALDOC","TOT","1000HAB","A","2008",3.23,
"LVA","MEDICALDOC","TOT","1000HAB","A","2009",3.15,
"LVA","MEDICALDOC","TOT","1000HAB","A","2010",3.11,
"LVA","MEDICALDOC","TOT","1000HAB","A","2011",3.13,
"LVA","MEDICALDOC","TOT","1000HAB","A","2012",3.14,
"LVA","MEDICALDOC","TOT","1000HAB","A","2013",3.19,
"LVA","MEDICALDOC","TOT","1000HAB","A","2014",3.22,
"LVA","MEDICALDOC","TOT","1000HAB","A","2015",3.2,
"LVA","MEDICALDOC","TOT","1000HAB","A","2016",3.21,
"LVA","MEDICALDOC","TOT","1000HAB","A","2017",3.21,
"LTU","MEDICALDOC","TOT","1000HAB","A","2008",3.88,
"LTU","MEDICALDOC","TOT","1000HAB","A","2009",3.85,
"LTU","MEDICALDOC","TOT","1000HAB","A","2010",3.95,
"LTU","MEDICALDOC","TOT","1000HAB","A","2011",4.1,
"LTU","MEDICALDOC","TOT","1000HAB","A","2012",4.22,
"LTU","MEDICALDOC","TOT","1000HAB","A","2013",4.28,
"LTU","MEDICALDOC","TOT","1000HAB","A","2014",4.31,
"LTU","MEDICALDOC","TOT","1000HAB","A","2015",4.34,
"LTU","MEDICALDOC","TOT","1000HAB","A","2016",4.47,
"LTU","MEDICALDOC","TOT","1000HAB","A","2017",4.56,
